Model,MAE,RMSE,R2
RandomForest,179236.2888888889,266436.4185704578,0.5877646313414536
RidgeCV,200804.98313450755,270774.6813884927,0.5768214213916322
GradientBoosting,185262.91453080656,276674.48314463167,0.5289007297296052
LinearRegression,257677003286790.88,1288382653164738.5,-4.574265305288085e+19
